Aggregator,DirectDeeplink(Y/N),DeeplinkExample,RequiresSlugOrKey(Y/N),NonKYC_Limit_EUR,KYC_Docs,Min/Max,PaymentMethods,EU_Supported,CA_Supported,OffRampSupported(Y/N),TypicalFeePct,CardDeclineRate,NotableBugsOrFeatures,SourcesOfficial,SourcesUnofficial
Banxa,YES,"requires partner integration",YES,0,"Govt. ID, selfie:contentReference[oaicite:6]{index=6}","20/14000:contentReference[oaicite:7]{index=7}","Visa, Mastercard, ApplePay, SEPA:contentReference[oaicite:8]{index=8}",YES,YES:contentReference[oaicite:9]{index=9},YES:contentReference[oaicite:10]{index=10},"≈4%:contentReference[oaicite:11]{index=11}",medium:contentReference[oaicite:12]{index=12},"KYC mandatory (no threshold):contentReference[oaicite:13]{index=13}","[18†L32-L37]",""
Transak,YES,"https://global.transak.com/...",YES,"90 (~$100):contentReference[oaicite:14]{index=14}","ID, selfie:contentReference[oaicite:15]{index=15}","20/25000:contentReference[oaicite:16]{index=16}","Visa, Mastercard, ApplePay, GooglePay, Bank transfer:contentReference[oaicite:17]{index=17}",YES,YES:contentReference[oaicite:18]{index=18},YES,"~3.5%-5.5%:contentReference[oaicite:19]{index=19}:contentReference[oaicite:20]{index=20}",medium:contentReference[oaicite:21]{index=21},"Multi-level KYC (≤ $100 basic):contentReference[oaicite:22]{index=22}","[31†L67-L72]",""
Mercuryo,YES,"https://exchange.mercuryo.io/...",YES,900 :contentReference[oaicite:23]{index=23},"passport or ID, selfie:contentReference[oaicite:24]{index=24}:contentReference[oaicite:25]{index=25}","≈50/15000:contentReference[oaicite:26]{index=26}","Visa, Mastercard, ApplePay, GooglePay, SEPA, Revolut:contentReference[oaicite:27]{index=27}",YES,YES:contentReference[oaicite:28]{index=28},YES:contentReference[oaicite:29]{index=29},"~3.9%:contentReference[oaicite:30]{index=30}",medium-high:contentReference[oaicite:31]{index=31},"No-KYC < €900 (auto ID code):contentReference[oaicite:32]{index=32}","[41†L402-L410]","[48†L33-L37]"
MoonPay,YES,"https://buy.moonpay.com/?...",YES,50 :contentReference[oaicite:33]{index=33},"ID document (selfie liveness):contentReference[oaicite:34]{index=34}","≈30/5000:contentReference[oaicite:35]{index=35}:contentReference[oaicite:36]{index=36}","Visa, Mastercard, ApplePay, GooglePay, Bank transfer:contentReference[oaicite:37]{index=37}",YES,PARTIAL:contentReference[oaicite:38]{index=38},YES,"~4.5%:contentReference[oaicite:39]{index=39}",medium,"No-KYC ≤ €50 (basic info only):contentReference[oaicite:40]{index=40}","[52†L40-L48]",""
Guardarian,YES,"https://payments.guardarian.com/?crypto=BTC&fiatCurrency=EUR&amount=100&address=...",NO,700 :contentReference[oaicite:41]{index=41},"ID (no POA under 700):contentReference[oaicite:42]{index=42}","5/12000:contentReference[oaicite:43]{index=43}","Visa, Mastercard, SEPA, FasterPayments, ApplePay:contentReference[oaicite:44]{index=44}:contentReference[oaicite:45]{index=45}",YES,NO:contentReference[oaicite:46]{index=46},YES,"~1-2%",medium,"Low-KYC ≤ €700 (no proof of address):contentReference[oaicite:47]{index=47}","[7†L31-L39]",""
Switchere,YES,"via widget on switchere.com",NO,150:contentReference[oaicite:48]{index=48},"None ≤€150; ID above:contentReference[oaicite:49]{index=49}","60/1000:contentReference[oaicite:50]{index=50}:contentReference[oaicite:51]{index=51}","Visa, Mastercard, Maestro, ApplePay, GooglePay, Skrill, Neteller:contentReference[oaicite:52]{index=52}:contentReference[oaicite:53]{index=53}",YES,YES,YES,"~3-7%:contentReference[oaicite:54]{index=54}",medium,"No account needed ≤ €150 purchase:contentReference[oaicite:55]{index=55}","[59†L28-L36]",""
Wert,YES,"https://widget.wert.io/...",YES,"1000 $:contentReference[oaicite:56]{index=56}","ID only (to $1000); +POA, selfie >$5k:contentReference[oaicite:57]{index=57}","1/10000:contentReference[oaicite:58]{index=58}","Visa, Mastercard, AmEx, JCB, ApplePay:contentReference[oaicite:59]{index=59}",YES,YES,NO,"4%:contentReference[oaicite:60]{index=60}",medium,"No-doc KYC up to $1k:contentReference[oaicite:61]{index=61}","[62†L141-L148]",""
Bit2Me,YES,"https://bit2me.com/... (Commerce)",NO,1000:contentReference[oaicite:62]{index=62},"Govt. ID > €1000:contentReference[oaicite:63]{index=63}","5/20000:contentReference[oaicite:64]{index=64}:contentReference[oaicite:65]{index=65}","Visa, Mastercard, Bank (SEPA), Skrill, Neteller:contentReference[oaicite:66]{index=66}",YES,YES:contentReference[oaicite:67]{index=67},YES,"~1% + card fee:contentReference[oaicite:68]{index=68}",low,"First trade fee-free (promo):contentReference[oaicite:69]{index=69}","[66†L287-L295]",""
Kado,YES,"widget.kado.money/... (B2B only)",YES,0:contentReference[oaicite:70]{index=70},"ID verification (always):contentReference[oaicite:71]{index=71}",нет данных,"Visa, Mastercard, ACH, Wire, ApplePay:contentReference[oaicite:72]{index=72}:contentReference[oaicite:73]{index=73}",YES,YES,YES,"~2%",medium,"KYC mandatory via banking partner:contentReference[oaicite:74]{index=74}","[70†L111-L118]",""
Ramp Network,YES,"https://buy.ramp.network/...",YES,0 :contentReference[oaicite:75]{index=75},"ID for all buys (POA >€5000):contentReference[oaicite:76]{index=76}","~1/10000:contentReference[oaicite:77]{index=77}:contentReference[oaicite:78]{index=78}","Visa, Mastercard, ApplePay, GooglePay, SEPA, ACH:contentReference[oaicite:79]{index=79}:contentReference[oaicite:80]{index=80}",YES,YES:contentReference[oaicite:81]{index=81},YES,"1.4%-3.9%:contentReference[oaicite:82]{index=82}:contentReference[oaicite:83]{index=83}",medium,"Instant bank transfer available (lower fees):contentReference[oaicite:84]{index=84}","[77†L52-L60]",""
